comments,cleaned_comments,sentiment_scores,compound_score,sentiment_category
"So excited you're covering this, first foldable I've considered since hearing about it. Very excited for your coming reviews of it.",excit your cover first e ive consid sinc hear excit come,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Impressive job on the video while on the road! Love to hear that it does indeed feel like a duo. Would've loved to see them side by side but i guess there's only so many phones you can bring  please ask them whether they are considering a multitasking -first mode like duo!,impress job road love hear inde feel like duo wouldv love see side side guess there mani bring pleas ask whether consid multitask first mode like duo,"{'neg': 0.0, 'neu': 0.574, 'pos': 0.426, 'compound': 0.946}",0.946,positive
"That Pixel Fold looks super tempting as I’ve been thinking about considering an upgrade from my Z Flip3 to a book-style foldable. I just wish that Pixel devices were more available globally because, although I haven’t checked in a while, I believe Pixel is not officially sold here in NZ and, if I want one, Might have to get out my Passport and fly to Australia to buy one. Or somehow import it from somewhere.",look super tempt ive think consid z flip bookstyl e wish devic avail global beca although havent check believ offici sold nz want one might get passport fli australia buy one somehow import somewher,"{'neg': 0.0, 'neu': 0.786, 'pos': 0.214, 'compound': 0.7845}",0.7845,positive
"Hope to see Google announce something like the S-Pen for this, because that's a big reason I want to upgrade to a Fold 5 when it comes out. The use my Note 20 Ultra gets as a productivity, notetaking and edoc signing monster is just as valuable to me as it's cameras, when despite how much flexibility you have with the fold with its ""built in tripod"", still have me contemplating going for the S23 Ultra or even waiting for the 24 Ultra.",hope see announc someth like spen beca that big reason want come ultra get product take edoc sign monster valu camera despit much flexibl built tripod still contempl go ultra even wait ultra,"{'neg': 0.0, 'neu': 0.817, 'pos': 0.183, 'compound': 0.6908}",0.6908,positive
Definitely very interesting addition to the foldable market and I think you'll be right on your thoughts about android being more optimised for foldables,definit interest addit e market think youll right thought android optimis es,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4588}",0.4588,positive
"Your review videos of foldable phones are fantastic. Every time I watch any foldable review, I feel mesmerized. The phone specifications are covered in great detail. The reviews are finely edited. I wish I had those wonderful phones. Please keep on making great review videos.",e fantast everi time e feel mesmer specif cover great detail fine edit wish wonder pleas keep make great,"{'neg': 0.0, 'neu': 0.506, 'pos': 0.494, 'compound': 0.9136}",0.9136,positive
It's so exciting to have your commentary on this. You did a great job at capturing the genuine excitement this phone brings to the market!,excit commentari great job captur genuin excit bring market,"{'neg': 0.0, 'neu': 0.661, 'pos': 0.339, 'compound': 0.6249}",0.6249,positive
"The form factor of this one is perfect. Absolutely adore it. I guess I'm starting to save now.

Every artist, graphic designer and meme maker I know is drooling over this phone. This might finally knock the ""couple of years old galaxy note"" from it's spot as the phone of choice for android based artists.",form factor one perfect absolut ador guess im start save noweveri artist graphic design meme maker know drool might final knock coupl old galaxi spot choic android base artist,"{'neg': 0.0, 'neu': 0.796, 'pos': 0.204, 'compound': 0.7845}",0.7845,positive
"Have been following his journey from pocket now to this channel. And it amazes me how well mrmobile has been able to differentiate from rest of the tech channels. Also, I don't think the bezels are much, they hide the camera and if you're lying down on the bed, they give you space to hold the phone and control phantom touches. Again, just my opinion.",follow journey pocket channel amaz well mrmobil e differenti rest tech channel also dont think bezel much hide camera your lie bed give space hold control phantom touch opinion,"{'neg': 0.057, 'neu': 0.872, 'pos': 0.07, 'compound': 0.1027}",0.1027,neutral
Appreciate the quick coverage and your commitment to your job as a tech communicator. The message you presented may be obvious to those following your channel / the industry in general but it's still well worth saying and spreading to many that have forgotten or remain unaware.,appreci quick coverag commit job tech communic messag present may obvious follow channel industri general still well worth say spread mani forgotten remain unawar,"{'neg': 0.068, 'neu': 0.712, 'pos': 0.221, 'compound': 0.5106}",0.5106,positive
"Much like the early smartphones of the mid 2000s, each new iteration brought so many improvements it was hard to justify buying last years model, even if it meant you could save a ton of money. Nowadays though, you could buy a 3 year old phone and probably not notice too much different compared to the brand new, full priced phone. I feel like foldables will get to that same point in the next ~5 years or so, and that's probably when I can justify buying one. For now, I live vicariously through people that can afford them.",much like earli smart mid new iter brought mani improv hard justifi buy last model even meant could save ton money nowaday though could buy old probi notic much differ compar brand new full price feel like es get point next that probi justifi buy one live vicari peopl afford,"{'neg': 0.024, 'neu': 0.785, 'pos': 0.19, 'compound': 0.8591}",0.8591,positive
"NICE! I hope the guys at Google appreciated the fact you sported the Levi's Google Jacquard jacket! Interesting device. I went from Fold 1 to Surface Duo to Fold 2 and  back to Surface Duo (when they finally fixed the firmware), with a couple of Flips mixed in ... I prefer the size and aspect of the Duo to the Samsung Fold, and this Pixel Fold seems to be the right candidate for my next phone!",nice hope guy appreci fact sport levi jacquard jacket interest devic went surfac duo back surfac duo final fix firmwar coupl flip mix prefer size aspect duo samsung seem right candid next,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.8271}",0.8271,positive
I'm very happy that you were able to cover this at the same time as everyone else so we could get your first impressions at the same time.  Thanks for the video and I look forward to the full review!,im happi e cover time everyon els could get first impress time thank look forward full,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.6597}",0.6597,positive
I’m really excited for the new razr and galaxy flip. here’s hoping they love up to even half our expectations,im realli excit new razr galaxi flip here hope love even half expect,"{'neg': 0.0, 'neu': 0.608, 'pos': 0.392, 'compound': 0.7964}",0.7964,positive
"Great video Michael! I'm so glad to hear you're initial assessment of the pixel fold. I'll be very excited to hear your full length review of it, and if you think it, it is price matched very well. Have fun!",great michael im glad hear your initi assess ill excit hear full length think price match well fun,"{'neg': 0.099, 'neu': 0.459, 'pos': 0.442, 'compound': 0.8658}",0.8658,positive
"As a disappointed Duo owner who moved on (but still uses that phone as an e-reader) I really like what I'm seeing here. One question I have is does it have dual SIM/esim support (a feature I've come to love on my Sony Xperia 3 mk III)?
Update: I checked the spec page (duh) and it does have dual sim support (1 nano sim and 1 esim).",disappoint duo owner move still eread realli like im see one question dual simesim support featur ive come love soni xperia mk iiiupdat check spec page duh dual sim support nano sim esim,"{'neg': 0.063, 'neu': 0.654, 'pos': 0.283, 'compound': 0.8555}",0.8555,positive
Not gonna lie I would trade my Z Fold 4 for this but I'm still paying the Fold off  perhaps the next gen lol but I do hope it works out for ppl. I wonder how samsung will respond in the up coming versions  if there's one thing I miss from a traditional phone is how wide the front screen is. Yes I can open my flip for better messaging but it's not what I want to do all the time!,gon na lie would trade z im still pay perhap next gen lol hope work ppl wonder samsung respond come version there one thing miss tradit wide front yes open flip better messag want time,"{'neg': 0.07, 'neu': 0.634, 'pos': 0.296, 'compound': 0.8625}",0.8625,positive
"Thanks a lot for a great first presentation of this foldable phone! I have a very special (perhaps) question about a very specific way of using this phone primarily (not exclusively): A tablet mode with a (screen, of course) keyboard on a table or on the lap and a screen in a ""regular"" laptop position. Can you please check out how writing text (a story or notes) in this way is a good way to use this phone (in the same way as an old Nokia Communicator, for instance)? Please check this out both hardwarewise and softwarewise.",thank lot great first present e special perhap question specif way use primarili exclus tet mode cours keyboard te lap regular laptop posit pleas check write text stori way good way way old nokia communic instanc pleas check hardwarewis softwarewis,"{'neg': 0.0, 'neu': 0.742, 'pos': 0.258, 'compound': 0.9042}",0.9042,positive
"More foldables is always good, but those cameras better be really good to justify this over a Samsung fold. I don't see any other killer feature",es alway good camera better realli good justifi samsung dont see killer featur,"{'neg': 0.0, 'neu': 0.426, 'pos': 0.574, 'compound': 0.903}",0.903,positive
"As someone who is currently watching this on the z fold 3, I am going to have to see a full review and get a hands on at my verizon store before I consider leaving the galaxy line.  It looks incredibly promising.  But right now Samsung has such a far ahead lead on the rest of the folding market, it's hard to beat",someon current ing z go see full get hand verizon store consid leav galaxi line look incred promis right samsung far ahead lead rest ing market hard beat,"{'neg': 0.047, 'neu': 0.845, 'pos': 0.108, 'compound': 0.4215}",0.4215,positive
"Michael, a small correction for you regarding puxel-exclusive features. Call screening is available on some Motorola and Sony phones now. I've had it prompt me a couple times on my Xperia 1III (I don't get many  calls)",michael small correct regard puxelexclus featur call ing avail motorola soni ive prompt coupl time xperia iii dont get mani call,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
"I'm tempted, but I am still smitten with my Z Fold 3, so I think I will hold out for the Fold 5 this summer. I'm sticking with the Samsung Folds, because I have chucked my Fold 3 around (by accident) and used it for work in some very dirty and wet project sites, and it still works perfectly and is an excellent size. I am curious as to how Google's screen will fare compared to Samsung's earlier models or if these will be just as sturdy as Samsung's current offerings? I am just happy to see that we are getting more options in the US market, because I could never go back to a standard brick phone.",im tempt still smitten z think hold summer im stick samsung beca chuck around accid work dirti wet project site still work perfect excel size curious fare compar samsung earlier model sturdi samsung current offer happi see get option us market beca could never go back standard brick,"{'neg': 0.0, 'neu': 0.83, 'pos': 0.17, 'compound': 0.8402}",0.8402,positive
"I want to see how the Pixel Fold will do against the Z Fold 5, Oppo N3, Vivo X Fold 2/2 Plus, Xiaomi Mi Mix Fold 3 and Honor Magic V2 later at a very expensive price for the specs it carries",want see z oppo n vivo x plus xiaomi mi mix honor magic v later expens price spec carri,"{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.5423}",0.5423,positive
That disclaimer at the end is what makes your word and content so trustworthy. I admire your honesty and as well the quality of your videos. Thank you Michael.,disclaim end make word content trustworthi admir honesti well qualiti thank michael,"{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.5574}",0.5574,positive
"Good to see an alternative for Samsung for the Western markets (thoguh it still won't come to my country but at least proper network support is there) and I'm optimistic that a Google foldable will help create better app support for these rectangular inner screens and tablets. But I still wouldn't get this phone, look great folded but the inner screen is such an eyesore. Not up to the standards for 1800 dollars it would bother me even at half price. I just hope Samsung will make real improvements this year.",good see altern samsung western market thoguh still wont come countri least proper network support im optimist e help creat better app support rectangular inner tet still wouldnt get look great ed inner eyesor standard dollar would bother even half price hope samsung make real improv,"{'neg': 0.092, 'neu': 0.582, 'pos': 0.326, 'compound': 0.9261}",0.9261,positive
"Oh, have i been waiting for this. Rocking a galaxy fold 3 right now, probably gonna hold on to it for a year or 2 more, but i really want some competition in this space. Im going to want some options when i upgrade later and this seems like a good start!",oh wait rock galaxi right probi gon na hold realli want competit space im go want option later seem like good start,"{'neg': 0.0, 'neu': 0.692, 'pos': 0.308, 'compound': 0.7184}",0.7184,positive
"Excited to see your full review on this, you are really looking at it from the best angle, as a fold phone power user.
Thanks for your early impressions.",excit see full realli look best angl power rthank earli impress,"{'neg': 0.0, 'neu': 0.559, 'pos': 0.441, 'compound': 0.7964}",0.7964,positive
"Question: did you try Microsoft apps like outlook?  If it looks like a duo, does it apply Microsoft's 2 'page' solutions?  That would be cool.   And I am assuming no stylus support?",question tri microsoft app like outlook look like duo appli microsoft page solut would cool assum stylus support,"{'neg': 0.0, 'neu': 0.583, 'pos': 0.417, 'compound': 0.8402}",0.8402,positive
"The ViVo X Fold Design and features is what the standard should be like . the MATE X goes a bit forward with being slim . What i want in an Foldable is the main large screen that functions like a regular large phone , without opening and the plus feature would be when opened with proper apps i can use it as a large tablet form of a two screen function to feel independent of each other like what the Lgv60 Dual screen did .",vivo x design featur standard like mate x goe bit forward slim want e main larg function like regular larg without open plus featur would open proper app larg tet form two function feel independ like lgv dual,"{'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.7783}",0.7783,positive
Respect to Google for letting the folding tech connoisseur take a look at this.,respect let ing tech connoisseur take look,"{'neg': 0.0, 'neu': 0.659, 'pos': 0.341, 'compound': 0.4767}",0.4767,positive
I really hope quad lock or rokform make a case for this phone. Only reason I ditched the fold 3 was the lack of good mounts for my motorcycle. This phone makes me want to maybe find and Jerry rig something to work.,realli hope quad lock rokform make case reason ditch lack good mount motorcycl make want mayb find jerri rig someth work,"{'neg': 0.141, 'neu': 0.595, 'pos': 0.264, 'compound': 0.5106}",0.5106,positive
"DBrand's integrated kickstand is definitely appealing, (and really should be a first party option).  Otherwise the $1,700 is far too high.  But Google did beat Apple to offering a foldable.  I guess now that there are actually 2 options in the US will prices finally begin to come down (so 2024 maybe?  Sigh)",dbrand integr kickstand definit appeal realli first parti option otherwis far high beat appl offer e guess actual option us price final begin come mayb sigh,"{'neg': 0.0, 'neu': 0.956, 'pos': 0.044, 'compound': 0.0258}",0.0258,neutral
I love how the Pixel Fold still has a physical SIM tray!,love still physic sim tray,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.6369}",0.6369,positive
This might be my first foldable. Waiting for a good trade price for 7 pro.,might first e wait good trade price pro,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}",0.4404,positive
"So excited this device is fnally real. Just to build competition and make Samsung try to be a little more then an iterative change the last couple years.

Is there any type of pin support on the inner display?",excit devic fnalli real build competit make samsung tri littl iter chang last coupl sis type pin support inner,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.4019}",0.4019,neutral
"That smile on your face as the phone was handed to you said it all.
No more ""jaded tech journo"" here.
Definitely doing much of it's own thing and planting a flag for what Google's vision for a foldable is.
I'm still not sure about the effect of creases on longevity - I have a materials engineering background and repeated folding always worries me.",smile face hand said allno jade tech journo heredefinit much thing plant flag vision e isim still sure effect creas longev materi engin background repeat ing alway worri,"{'neg': 0.0, 'neu': 0.697, 'pos': 0.303, 'compound': 0.8402}",0.8402,positive
"If they get the price right i might spring for an early upgrade to my pixel 6. 

Also i hope they get a lot of the software issues sorted with ""tablet"" apps on Android",get price right might spring earli also hope get lot softwar issu sort tet app android,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4404}",0.4404,positive
Had the Fold 3 had bad battery life and was disappointed with the camera.  I am looking forward to the reviews on this much needed foldable.,bad disappoint camera look forward much need e,"{'neg': 0.554, 'neu': 0.446, 'pos': 0.0, 'compound': -0.7351}",-0.7351,negative
The first one for my favourite Storyteller YouTuber… Cheers ..I m actually more keen on seeing whether it’s worth spending 1800 USD on this or the one that SONY launches tomorrow.. let us know what you think of the crease.. the ageing and the true benefits of possessing a Google fold when you have Pixel 7A and Pixel 8 in line.,first one favourit storytel youtub cheer actual keen see whether worth spend usd one soni launch tomorrow let us know think creas age true benefit possess line,"{'neg': 0.0, 'neu': 0.62, 'pos': 0.38, 'compound': 0.91}",0.91,positive
"That IPx8 rating is phenomenal for a foldable. That's pretty damn impressive.   
The hinges and thunk were immediately familiar as a Surface Duo user, and I really think that's a good comparison.   I'm pretty excited about it.",ipx rate phenomen e that pretti damn impress hing thunk immedi familiar surfac duo r realli think that good comparison im pretti excit,"{'neg': 0.102, 'neu': 0.679, 'pos': 0.219, 'compound': 0.4767}",0.4767,positive
"Oh who's better to discuss Pixel Fold, than you, the Mr Mobile ! 
Good to hear it indeed does close flush, and has the IP68 and is able to hold various angles of clamshelling. Cool that they are trying to convince Android to cooperate with the squared proportions of this type of foldables. Great that the foldability finally doesn't come with traditional sacrifiices in the camera department.  And D-Brand's case with a kickstand looks cute.",oh whos better discuss mr mobil good hear inde close flush ip e hold various angl clamshel cool tri convinc android cooper squar proport type es great abil final doesnt come tradit sacrifiic camera depart dbrand case kickstand look cute,"{'neg': 0.0, 'neu': 0.691, 'pos': 0.309, 'compound': 0.9349}",0.9349,positive
I'm not moving from my duo until atleast 2024/25 but glad to see Google doing this and in a way looks for me very positive for the duo 3. That said like the look of this.,im move duo atleast glad see way look posit duo said like look,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.6705}",0.6705,positive
"Oh man! I really want that phone but it's too expensive for me even with a payment plan! It's exactly what I am looking for in a foldable, including not having a selfie camera on the inside that is a hole punch or under the display, messing up how things look while using it or making the screen fuzzy when it's hidden.",oh man realli want expens even payment plan exact look e includ selfi camera insid hole punch mess thing look use make fuzzi hidden,"{'neg': 0.101, 'neu': 0.847, 'pos': 0.052, 'compound': -0.296}",-0.296,negative
"Hey Mr Fisher
Great first look. Question. Isn't having a third selfie camera too much? I heard they made those bezels big to accommodate more space for that selfie camera. But why is it necessary to have it in the first place, there are already 2 camera's, does it really need a third? Especially if you can use the main camera as a selfie camera. I'd rather have smaller bezels and no selfie camera on the big screen. Curious what you think and I hope you'll open a discussion for this problem when your review comes out. Cheers",hey mr fishergreat first look question isnt third selfi camera much heard made bezel big accommod space selfi camera necessari first place alreadi camera realli need third especi main camera selfi camera id rather smaller bezel selfi camera big curious think hope youll open discuss problem come cheer,"{'neg': 0.049, 'neu': 0.797, 'pos': 0.154, 'compound': 0.7003}",0.7003,positive
"YES! FINALLY! 

Im in a market for a Foldable but it always fall short due to the Camera systems. Im using the Samsung S21 Ultra and I LOVE the zoom and samsung seem to cut back when it comes to their foldables.",yes final im market e alway fall short due camera system im use samsung ultra love zoom samsung seem cut back come es,"{'neg': 0.075, 'neu': 0.679, 'pos': 0.246, 'compound': 0.7003}",0.7003,positive
Looks like a really nice phone! My dream is that this fancy new software and better support from third party apps can find their way into a device that has same dimensions as Oppo Find N that can be purchased in Europe,look like realli nice dream fanci new softwar better support third parti app find way devic dimens oppo find n purchas europ,"{'neg': 0.0, 'neu': 0.554, 'pos': 0.446, 'compound': 0.8979}",0.8979,positive
This excite me a little bit  because brands that actually sell devices in US might jump to start making foldables having an OS that is actually meant to be on a foldable,excit littl bit beca brand actual sell devic us might jump start make es os actual meant e,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
"Wow , I have three (3) takes on this phone
1. Finally Google making a foldable phone means the future is all about unfolding.
2. Apple has no choice at the moment, they have to join them....... they couldn't beat them. 
3. Apps like Instagram and Co would finally take folding phones seriously.",wow three take final make e mean futur une appl choic moment join couldnt beat app like instagram co would final take ing serious,"{'neg': 0.12, 'neu': 0.669, 'pos': 0.211, 'compound': 0.5559}",0.5559,positive
"I've been rocking the Find N2 for just over a month. I've been able to westernize pretty much everything about it (including WearOS pairing, Google Wallet payments), except for ""hey Google"" support. Not to mention it was hundreds of dollars less than the Pixel Fold will be.
Pixel features would be nice, but I don't think it's worth the tradeoff of slow charging, thick bezels, higher price and a deeper crease. Here's hoping many of the software improvements make it to Oppo.",ive rock find n month ive e western pretti much everyth includ wearo pair wallet payment except hey support mention hundr dollar less featur would nice dont think worth tradeoff slow charg thick bezel higher price deeper creas here hope mani softwar improv make oppo,"{'neg': 0.034, 'neu': 0.799, 'pos': 0.167, 'compound': 0.7558}",0.7558,positive
Looking forward to seeing this in action in India,look forward see action india,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
"It does look very nice. Now we have to wait for Z Fold 5, OnePlus V Fold and surface Duo 3 in USA",look nice wait z oneplus v surfac duo usa,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.4215}",0.4215,positive
This was the video I  was waiting for ever since the leak! Thank you for your service Mr Mobile,wait ever sinc leak thank servic mr mobil,"{'neg': 0.22, 'neu': 0.55, 'pos': 0.229, 'compound': 0.0258}",0.0258,neutral
"Is Google about to pry me away from the iPhone? Because this looks incredible and I like how it looks way more than the Z-Fold. Especially when it have a similar profile to Oppo’s Find N, but the design language of the Pixel. I’d like to hear about repair options and maybe I’ll wait till a 2nd generation but… wow… I’d be lying if I said it wasn’t tempting",pri away beca look incred like look way z especi similar profil oppo find n design languag id like hear repair option mayb ill wait till nd generat wow id lie said wasnt tempt,"{'neg': 0.071, 'neu': 0.707, 'pos': 0.222, 'compound': 0.7184}",0.7184,positive
not a big fan of the aspect ratio or screen bezels. but hopefully the fold 5 brings a lot more to the table,big fan aspect ratio bezel hope bring lot te,"{'neg': 0.0, 'neu': 0.574, 'pos': 0.426, 'compound': 0.6369}",0.6369,positive
"Unlikely, but fingers crossed they make a clam shell fold for us who like small phones",unlik finger cross make clam shell us like small,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.3612}",0.3612,neutral
"Beautiful looking phone. I think it looks even better than the Fold. Unfortunately, after my repair experience with my Pixelbook, I can't bring myself to buy another Google hardware product. After the warranty ran out (by two days), there were no service centers and no spare parts, I was forced to buy a used MB off of eBay and figure it out myself. I'll just wait until a reliable hardware company like Samsung ""takes inspiration"" from them.",beauti look think look even better unfortun repair experi book cant bring buy anoth hardwar product warranti ran two day servic center spare part forc buy mb ebay figur ill wait reli hardwar compani like samsung take inspir,"{'neg': 0.065, 'neu': 0.81, 'pos': 0.125, 'compound': 0.3818}",0.3818,neutral
"Amazing video as always.

I would like to know what the quality of the cameras on both the zoom and wide angle compared to Samsung's z fold series",amaz alwaysi would like know qualiti camera zoom wide angl compar samsung z seri,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.3612}",0.3612,neutral
Trading in my zfold 3 for it. I love my zfold 3 but the software annoys the hell out of me. I literally ordered the pixel fold within 3 minutes of its announcement. I can't wait to get it towards the end of June.,trade z love z softwar annoy hell liter order within minut announc cant wait get toward end june,"{'neg': 0.304, 'neu': 0.526, 'pos': 0.17, 'compound': -0.5106}",-0.5106,negative
"I absolutely loved my Surface Duo, I even had the Gen 1 Damascus skin on it. I Got rid of it because it was too glitchy. I'm saddened that I was impatient and bought a Fold 4 and am stuck making payments on it.",absolut love surfac duo even gen damascus skin got rid beca glitchi im sadden impati bought stuck make payment,"{'neg': 0.217, 'neu': 0.62, 'pos': 0.163, 'compound': -0.1027}",-0.1027,neutral
"I'm excited, but I too concerns. 1. Can it only have two apps open? The Z fold can have three
2. Will they stand behind the screen? If it breaks, will they replace it without charging?",im excit concern two app open z three stand behind break replac without charg,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
I'm hoping this makes the foldable devices step up their camera and battery game..,im hope make e devic step camera game,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}",0.4404,positive
Sweet looking device.  Hoping it takes off.  I've been looking for devices to trade in to take the sting out of that 1800 sticker price.,sweet look devic hope take ive look devic trade take sting sticker price,"{'neg': 0.0, 'neu': 0.651, 'pos': 0.349, 'compound': 0.7096}",0.7096,positive
"Having a fold 3 and 4 (replaced the 3 with a 4 because of course....seam bubbles )...I super miss NOT having a fold. Its just so.... extra and not in a good way. They were so expensive and Im willing to bet almost no one would use its full potential (the ""extra"" part). I fully suggest anyone wanting a fold to really sit down and think before paying that extra money. Especially with inflation being what it is.",replac beca courseseam bubbl super miss extra good way expens im will bet almost one would full potenti extra part fulli suggest anyon want realli sit think pay extra money especi inflat,"{'neg': 0.079, 'neu': 0.709, 'pos': 0.213, 'compound': 0.7269}",0.7269,positive
